12	0.00000000	0.12839992	0.00006565
12	0.10000000	0.19258679	0.00013179
12	0.12000000	0.20375523	0.00012690
12	0.14000000	0.21434420	0.00015112
12	0.16000000	0.22369602	0.00014996
12	0.18000000	0.23216595	0.00015225
12	0.20000000	0.24000533	0.00011857
12	0.22000000	0.24705087	0.00015163
12	0.24000000	0.25313656	0.00014940
12	0.26000000	0.25863062	0.00016552
12	0.27000000	0.26153407	0.00009557
12	0.28000000	0.26419414	0.00009355
12	0.29000000	0.26625297	0.00009241
12	0.30000000	0.26865554	0.00008788
12	0.31000000	0.27062963	0.00006925
12	0.31500000	0.27156935	0.00017237
12	0.32000000	0.27269996	0.00006917
12	0.33000000	0.27440741	0.00007103
12	0.34000000	0.27651377	0.00007213
12	0.35000000	0.27813460	0.00010615
12	0.36000000	0.27954389	0.00010400
12	0.37000000	0.28117725	0.00010450
12	0.38000000	0.28279800	0.00010599
12	0.39000000	0.28429940	0.00010874
12	0.40000000	0.28546067	0.00020158
12	0.50000000	0.29627119	0.00019405
12	0.60000000	0.30327299	0.00021023
12	0.70000000	0.30854983	0.00021298
12	0.80000000	0.31302681	0.00023222
12	0.90000000	0.31562072	0.00021930
12	1.00000000	0.31831364	0.00023211
12	1.10000000	0.32000423	0.00024649
12	1.20000000	0.32154136	0.00021799
12	1.30000000	0.32286576	0.00024054
12	1.40000000	0.32427039	0.00023531
16	0.31500000	0.25732909	0.00016198
18	0.00000000	0.10444399	0.00005333
18	0.10000000	0.15932387	0.00015342
18	0.12000000	0.17027197	0.00015837
18	0.14000000	0.18129342	0.00016624
18	0.16000000	0.19168371	0.00018076
18	0.18000000	0.20144055	0.00018187
18	0.20000000	0.21102557	0.00014285
18	0.22000000	0.21930994	0.00022436
18	0.24000000	0.22756131	0.00022186
18	0.26000000	0.23492116	0.00021927
18	0.27000000	0.23796492	0.00013387
18	0.28000000	0.24141031	0.00013825
18	0.29000000	0.24423452	0.00014214
18	0.30000000	0.24742197	0.00012642
18	0.31000000	0.25014615	0.00010087
18	0.32000000	0.25295767	0.00009750
18	0.33000000	0.25540488	0.00010647
18	0.34000000	0.25760386	0.00010321
18	0.35000000	0.26025022	0.00014945
18	0.36000000	0.26236333	0.00015026
18	0.37000000	0.26461570	0.00015571
18	0.38000000	0.26658072	0.00015739
18	0.39000000	0.26834777	0.00015578
18	0.40000000	0.27069666	0.00030026
18	0.50000000	0.28511817	0.00031190
18	0.60000000	0.29487940	0.00033636
18	0.70000000	0.30176687	0.00033496
18	0.80000000	0.30726793	0.00032948
18	0.90000000	0.31073731	0.00034089
18	1.00000000	0.31375073	0.00033338
18	1.10000000	0.31674553	0.00035678
18	1.20000000	0.31879167	0.00034235
18	1.30000000	0.32024269	0.00037107
18	1.40000000	0.32232890	0.00034635
20	0.31500000	0.24683183	0.00023236
24	0.00000000	0.09012164	0.00005040
24	0.10000000	0.13815170	0.00014770
24	0.12000000	0.14879087	0.00016220
24	0.14000000	0.15919156	0.00016531
24	0.16000000	0.16942137	0.00020722
24	0.18000000	0.17955958	0.00022414
24	0.20000000	0.19001009	0.00017470
24	0.22000000	0.19947208	0.00025087
24	0.24000000	0.20896445	0.00026484
24	0.26000000	0.21764954	0.00029112
24	0.27000000	0.22139050	0.00016437
24	0.28000000	0.22512982	0.00016143
24	0.29000000	0.22916662	0.00016604
24	0.30000000	0.23278282	0.00016129
24	0.31000000	0.23618039	0.00012001
24	0.31500000	0.23806358	0.00027825
24	0.32000000	0.23921250	0.00012646
24	0.33000000	0.24235998	0.00013155
24	0.34000000	0.24560950	0.00012990
24	0.35000000	0.24857369	0.00019036
24	0.36000000	0.25084918	0.00019007
24	0.37000000	0.25409089	0.00018964
24	0.38000000	0.25605477	0.00019142
24	0.39000000	0.25886785	0.00019613
24	0.40000000	0.26083703	0.00036959
24	0.50000000	0.27874871	0.00036893
24	0.60000000	0.29071240	0.00040679
24	0.70000000	0.29950274	0.00046985
24	0.80000000	0.30533659	0.00047073
24	0.90000000	0.31056060	0.00046150
24	1.00000000	0.31391568	0.00044876
24	1.10000000	0.31705604	0.00041616
24	1.20000000	0.31956232	0.00049571
24	1.30000000	0.32209014	0.00053149
24	1.40000000	0.32342100	0.00048675
30	0.00000000	0.08040637	0.00004314
30	0.10000000	0.12302168	0.00014082
30	0.12000000	0.13282461	0.00014803
30	0.14000000	0.14318248	0.00016554
30	0.16000000	0.15335219	0.00018995
30	0.18000000	0.16389139	0.00023628
30	0.20000000	0.17423575	0.00019143
30	0.22000000	0.18458618	0.00029177
30	0.24000000	0.19480548	0.00028933
30	0.26000000	0.20399353	0.00031986
30	0.27000000	0.20873204	0.00018776
30	0.28000000	0.21296316	0.00019606
30	0.29000000	0.21735839	0.00019919
30	0.30000000	0.22167078	0.00017557
30	0.31000000	0.22535813	0.00014708
30	0.32000000	0.22927310	0.00014674
30	0.33000000	0.23332019	0.00015404
30	0.34000000	0.23642671	0.00015407
30	0.35000000	0.24017793	0.00022782
30	0.36000000	0.24328010	0.00022872
30	0.37000000	0.24643493	0.00023603
30	0.38000000	0.24933900	0.00023454
30	0.39000000	0.25198260	0.00023611
30	0.40000000	0.25481168	0.00045383
30	0.50000000	0.27604707	0.00050562
30	0.60000000	0.28977534	0.00057470
30	0.70000000	0.29972817	0.00052920
30	0.80000000	0.30632202	0.00052471
30	0.90000000	0.31160880	0.00058868
30	1.00000000	0.31505087	0.00059148
30	1.10000000	0.31830919	0.00056858
30	1.20000000	0.32141567	0.00060808
30	1.30000000	0.32373210	0.00054423
30	1.40000000	0.32627408	0.00056259
32	0.31500000	0.22456774	0.00030039
36	0.00000000	0.07337405	0.00004142
36	0.10000000	0.11236677	0.00013530
36	0.12000000	0.12090666	0.00014920
36	0.14000000	0.13021157	0.00018235
36	0.16000000	0.14068548	0.00020563
36	0.18000000	0.15091260	0.00022296
36	0.20000000	0.16142581	0.00020039
36	0.22000000	0.17241900	0.00031496
36	0.24000000	0.18352732	0.00033446
36	0.26000000	0.19377615	0.00049998
36	0.27000000	0.19811492	0.00033448
36	0.28000000	0.20278786	0.00035626
36	0.29000000	0.20780881	0.00036132
36	0.30000000	0.21320787	0.00026135
36	0.31000000	0.21755676	0.00020534
36	0.32000000	0.22139760	0.00020679
36	0.33000000	0.22553874	0.00021278
36	0.34000000	0.22990449	0.00022333
36	0.35000000	0.23387850	0.00025845
36	0.36000000	0.23705418	0.00027102
36	0.37000000	0.24097780	0.00027386
36	0.38000000	0.24446776	0.00028939
36	0.39000000	0.24669695	0.00030194
36	0.40000000	0.25106277	0.00053959
36	0.50000000	0.27454202	0.00057116
36	0.60000000	0.28985296	0.00058717
36	0.70000000	0.29882490	0.00069316
36	0.80000000	0.30827745	0.00063140
36	0.90000000	0.31198410	0.00070699
36	1.00000000	0.31774573	0.00066333
36	1.10000000	0.31824064	0.00077567
36	1.20000000	0.32226104	0.00073417
36	1.30000000	0.32473832	0.00070171
36	1.40000000	0.32624079	0.00069606
40	0.12000000	0.11471270	0.00014987
40	0.14000000	0.12379846	0.00016542
40	0.16000000	0.13338761	0.00020246
40	0.18000000	0.14383017	0.00022718
40	0.20000000	0.15434831	0.00028322
40	0.22000000	0.16514782	0.00027484
40	0.24000000	0.17552213	0.00034352
40	0.31500000	0.21458780	0.00039725
42	0.00000000	0.06783581	0.00003622
42	0.10000000	0.10366453	0.00012556
42	0.20000000	0.15083362	0.00031655
42	0.30000000	0.20573031	0.00049005
42	0.31000000	0.21080124	0.00027564
42	0.32000000	0.21541195	0.00026751
42	0.33000000	0.22022627	0.00028710
42	0.34000000	0.22416270	0.00029473
42	0.35000000	0.22888871	0.00028522
42	0.36000000	0.23315331	0.00031508
42	0.37000000	0.23649135	0.00032779
42	0.38000000	0.24037898	0.00031832
42	0.39000000	0.24391189	0.00032614
42	0.40000000	0.24759246	0.00060135
42	0.50000000	0.27404704	0.00068453
42	0.60000000	0.28958348	0.00075853
42	0.70000000	0.30133840	0.00074488
42	0.80000000	0.30772948	0.00081531
42	0.90000000	0.31424082	0.00077310
42	1.00000000	0.31657997	0.00077261
42	1.10000000	0.32055142	0.00075462
42	1.20000000	0.32312172	0.00075820
42	1.30000000	0.32568063	0.00061292
42	1.40000000	0.32724206	0.00068626
48	0.00000000	0.06339590	0.00003413
48	0.10000000	0.09685224	0.00012566
48	0.12000000	0.10453034	0.00014529
48	0.14000000	0.11297953	0.00015995
48	0.16000000	0.12204625	0.00020020
48	0.18000000	0.13175368	0.00024582
48	0.20000000	0.14196113	0.00020458
48	0.22000000	0.15305922	0.00033503
48	0.24000000	0.16455752	0.00035494
48	0.26000000	0.17608942	0.00052602
48	0.27000000	0.18214934	0.00039132
48	0.28000000	0.18843514	0.00040612
48	0.29000000	0.19349995	0.00043530
48	0.30000000	0.19950072	0.00034173
48	0.31000000	0.20512761	0.00024781
48	0.31500000	0.20647325	0.00043225
48	0.32000000	0.20982500	0.00025585
48	0.33000000	0.21554309	0.00026196
48	0.34000000	0.22002687	0.00027623
48	0.35000000	0.22571216	0.00034702
48	0.36000000	0.23032834	0.00034804
48	0.37000000	0.23363386	0.00035833
48	0.38000000	0.23833938	0.00037238
48	0.39000000	0.24203644	0.00036915
48	0.40000000	0.24600864	0.00069803
48	0.50000000	0.27528105	0.00076518
48	0.60000000	0.29001604	0.00084089
48	0.70000000	0.30165449	0.00074083
48	0.80000000	0.30887047	0.00078415
48	0.90000000	0.31466855	0.00083446
48	1.00000000	0.31519804	0.00095560
